Nombre,Link,Ubicacion,Precio,Cant Habitaciones,Cant Baños,Antigüedad,Parqueadero
,http://www.metrocuadrado.com/proyecto/torremolinos-casas-campestres/4212-C00009-01,,$1.040.000.000,3,5 o más,,
,http://www.metrocuadrado.com/proyecto/torreladera-bosque-reservado-casas-3/1572-C00012-01,,$1.295.000.000,4,5 o más,,
,http://www.metrocuadrado.com/proyecto/camino-del-bosque/5449-C00003-01,,$3.900.000.000,4,5 o más,,
Casa en Venta; Bogotá D.C.; LAS LOMAS,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-las-lomas-5-habitaciones-2-banos-0-garajes/156-M1969741,,$115.000.000,5 o más,2,,
Casa en Venta; Bogotá D.C.; SAN JOSE DE BAVARIA,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-san-jose-de-bavaria-4-habitaciones-5-banos-4-garajes/3636-M1969740,,$4.700.000.000,4,5 o más,,4 o más
Casa en Venta; Bogotá D.C.; SAN JOSE DE BAVARIA,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-san-jose-de-bavaria-4-habitaciones-5-banos-4-garajes/3636-M1969746,,$2.600.000.000,4,5 o más,,4 o más
Casa en Venta; Bogotá D.C.; LA PRIMAVERA,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-la-primavera-5-habitaciones-5-banos-3-garajes/346-3191,,$620.000.000,5 o más,5 o más,,3
Casa en Venta; Bogotá D.C.; SAN JOSE DE BAVARIA,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-san-jose-de-bavaria-4-habitaciones-5-banos-4-garajes/3636-M1969734,,$2.200.000.000,4,5 o más,,4 o más
Casa en Venta; Bogotá D.C.; CIUDADELA GRAN GRANADA,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-urbanizacion-la-gran-granada-2-habitaciones-2-banos-1-garajes/225-M1969748,,$215.000.000,2,2,,1
Casa en Venta; Bogotá D.C.; CALATRABA,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-niza-norte-4-habitaciones-5-banos-4-garajes/5168-M1969541,,$1.500.000.000.000,4,5 o más,,4 o más
Casa en Venta; Bogotá D.C.; MANDALAY,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-mandalay-ii-4-habitaciones-4-banos-3-garajes/970-M1969650,,$900.000.000,4,4,,3
Casa en Venta; Bogotá D.C.; CIUDAD MONTES,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-remanso-5-habitaciones-4-banos-2-garajes/3008-M1969549,,$700.000.000,5 o más,4,,2
Casa en Venta; Bogotá D.C.; ALTOS DE MOLINOS,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-cerros-de-oriente-2-habitaciones-1-banos-0-garajes/5506-M1969513,,$90.000.000,2,1,,
Casa en Venta; Bogotá D.C.; COLINA VICTORIA NORTE,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-santa-helena-i-3-habitaciones-3-banos-2-garajes/5168-M1969555,,$780.000.000,3,3,,2
Casa en Venta; Bogotá D.C.; BACHUE,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-ciudad-bachue-5-habitaciones-3-banos-0-garajes/4863-456,,$177.600.000,5 o más,3,,
Casa en Venta; Bogotá D.C.; SAN SIMON GUAYMARAL,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-casa-blanca-5-habitaciones-5-banos-4-garajes/5366-M1969474,,$1.480.000.000,5 o más,5 o más,,4 o más
Casa en Venta; Bogotá D.C.; Timiza,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-timiza-a-4-habitaciones-2-banos-0-garajes/2800-M1969470,,$168.000.000,4,2,,
Casa en Venta; Bogotá D.C.; Villas de Granada,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-villas-de-granada-3-habitaciones-2-banos-0-garajes/2800-M1969485,,$255.000.000,3,2,,
Casa en Venta; Bogotá D.C.; TEJAR,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-5-habitaciones-4-banos-2-garajes/171-M1969365,,$350.000.000,5 o más,4,,2
Casa en Venta; Bogotá D.C.; Torremolinos,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-san-eusebio-4-habitaciones-3-banos-1-garajes/2800-M1969451,,$295.000.000,4,3,,1
Casa en Venta; Bogotá D.C.; MEXICO,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-mexico-3-habitaciones-4-banos-0-garajes/3222-M1969276,,$280.000.000,3,4,,
