"CODIGO","NOMBRE","PRECIO","IMAGEN","CATEGORIA"
"0750","Bolsa Chemisette negra con logo en plata","$200.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1144/PX313.jpg","paquetes\productos-individuales"
"0965","Juego de 6 Tazas CCD 2017","$0.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1111/Juego6tazas.jpg","paquetes\productos-individuales"
"0836","Guía conSentidos","$35.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1151/manual.jpg","paquetes\productos-individuales"
"0801","Dije Cisne Dorado","$0.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1174/dije_chemisette.jpg","paquetes\productos-individuales"
"0804","Aretes Club Cisne Dorado","$0.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1175/ARETES.jpg","paquetes\productos-individuales"
"0799","Bolsa Compacta","$40.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1176/0799.jpg","paquetes\productos-individuales"
"0793","Dije Corazón","$25.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1182/0793.jpg","paquetes\productos-individuales"
"890I","Catálogo Primavera-Verano 2017","$15.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1184/CATPV2017.jpg","paquetes\productos-individuales"
"KIT200","Kit de Aniversario 15 años","$200.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1217/kitdeaniversario.jpg","paquetes\productos-individuales"
"0922-5","Alajero","$60.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1204/PX307_Alajero.jpg","paquetes\productos-individuales"
"0922-7","Set organizador + lapicero","$60.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1205/PX307_Organizadores.jpg","paquetes\productos-individuales"
"0922-8","Juego Organizador de 5 Piezas","$150.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1206/PX312.jpg","paquetes\productos-individuales"
"0923","Clóset Portátil","$220.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/315/0923_01.jpg","paquetes\productos-individuales"
"20011","Crossback Bra","$206.50","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1208/20011.jpg","paquetes\productos-individuales"
"B27","Complete Bra","$455.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/290/B27_80.jpg","paquetes\productos-individuales"
"20031","Luxury Bra","$259.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1209/20031.jpg","paquetes\productos-individuales"
"0947M1","Pure Garden 10ml","$120.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1225/PX308_Puregarden10ml.jpg","paquetes\productos-individuales"
"R0415","Faja Lifting","$150.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1308/JUEVESDORADO.jpg","paquetes\productos-individuales"
"0857R","Menú de sugerencias diarias Quantum","$10.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1342/DIETAQUANTUM.jpg","paquetes\productos-individuales"
"892I","Suplemento Moda y Salud Julio - Agosto 2017 ( 1 pieza )","$5.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1369/892I.jpg","paquetes\productos-individuales"
"890P3","Catálogo Primavera Verano Pack con 4 + Suplemento Julio Agosto Pack con 4","$70.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1367/890p3.jpg","paquetes\productos-individuales"
"0987","Volante Jueves Dorado","$0.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1387/FLYERWEB_GRANDE.jpg","paquetes\productos-individuales"
"TAR1707","Tarjeta de cierre primeros pasos","$10.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1403/TAR.jpg","paquetes\productos-individuales"
"893P1","Catálogo Otoño Invierno 2017 Pack con 4 mas Supl Septiembre - Octubre 2017 Pack con 4","$80.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1406/4y4.jpg","paquetes\productos-individuales"
"893I","CATALOGO OTOÑO INVIERNO 2017 (1 PIEZA )","$15.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1484/catoi.jpg","paquetes\productos-individuales"
