"231-0611-04",528
"231-0611-07",969
"231-0611-03",1192
"231-0614-00",455
"231-0614-05",564
"231-0614-04",599
"231-0614-02",434
"231-0615-03",795
"231-0615-01",617
"231-0616-02",1001
"231-0617-02",563
"231-0665-01",1351
"231-0665-00",1875
"231-0622-02",1335
"231-0623-02",1351
"231-0623-03",779
"231-0623-01",763
"231-0625-02",795
"231-0626-00",826
"231-0629-02",763
"231-0629-00",591
"231-0630-05",1335
"231-0630-03",1621
"231-0630-00",779
"231-0677-02",890
"231-2506-02",1335
"231-0631-01",954
"231-0631-00",586
"231-0633-02",1875
"231-0633-03",1859
"231-0635-00",715
"231-0638-00",564
"231-0639-01",1049
"231-0639-08",810
"231-0639-00",938
"231-0639-07",763
"231-0639-06",594
"231-0639-13",985
"231-0639-14",938
"231-0666-01",1335
"231-0642-03",810
"231-0642-02",8216
"231-0642-04",763
"231-0645-02",826
"231-0646-02",779
"231-0647-01",1033
"231-0663-00",1875
"231-0649-02",1557
"231-2560-01",906
"231-0901-01",504
"231-0902-05",1224
"231-0902-02",1271
"231-0904-02",1144
"231-0906-02",1017
"231-0907-00",1271
"231-0929-00",610
"231-0908-04",1192
"231-0908-01",731
"231-0910-01",795
"231-0911-04",1097
"231-0912-01",1478
"231-0912-03",1208
"231-0916-03",938
"231-0913-01",826
"231-0916-02",954
"231-0917-04",1049
"231-0714-00",553
"231-0918-00",1351
"231-0919-00",1097
"231-0920-02",1144
"231-0920-03",1144
"231-0805-01",380
"231-1205-01",1033
"231-1207-00",810
"231-1208-01",842
"231-1242-06",1383
"231-1242-02",1557
"231-1209-02",890
"231-1210-01",1351
"231-1213-00",954
"231-1214-06",2098
"231-1214-08",763
"231-1214-00",652
"231-1214-07",858
"231-1214-02",810
"231-1214-04",2130
"231-1215-14",922
"231-1215-03",731
"231-1215-12",890
"231-1215-13",795
"231-1215-08",906
"231-1215-01",763
"231-1215-05",826
"231-1216-01",1001
"231-1248-02",1192
"231-1248-01",858
"231-1217-03",795
"231-1218-03",1335
"231-1219-04",1160
"231-1219-05",1430
"231-1219-02",731
"231-1221-02",779
"231-1223-03",510
"231-1223-04",542
"231-1224-00",938
"231-1217-00",906
"231-1225-01",1017
"231-1226-00",938
"231-1227-01",1907
"231-1228-02",1319
"231-1228-07",1176
"231-1228-04",683
"231-1228-00",575
"231-1229-01",2066
"231-1230-03",954
"231-1230-05",842
"231-1230-02",763
"231-1245-01",1208
"231-1237-01",922
"231-1105-02",1287
"231-1102-00",2050
"231-1103-01",1971
"231-1301-03",1812
"231-1301-06",1478
"231-1301-00",1637
"231-1310-02",1430
"231-1302-20",1812
"231-1302-06",1875
"231-1302-16",1542
"231-1302-05",1557
"231-1302-10",1637
"231-1303-02",1748
"231-1303-05",2416
"231-1304-02",1001
"231-1305-04",1526
"231-1306-01",890
"231-1307-02",890
"231-1307-03",1335
"231-3301-01",1637
"231-1601-00",810
"231-1605-02",1637
"231-1605-04",763
"231-1605-00",890
"231-1605-06",858
"231-1607-01",858
"231-1702-02",2988
"231-1702-03",2988
"231-2002-04",2034
"231-2002-07",2892
"231-2002-05",1955
"231-2018-01",3639
"231-2013-02",1907
"231-2006-00",1653
"231-2101-02",1621
"231-2101-06",1589
"231-2101-07",1589
"231-2201-02",1685
"231-2202-02",2749
"231-2203-02",1653
"231-2203-05",2034
"231-2205-04",1255
"231-2205-01",2034
"231-2205-03",1637
"231-2207-01",1097
"231-2208-02",1526
"231-2208-01",1398
"231-2208-05",1351
"231-1901-08",795
"231-1901-07",1319
"231-1902-02",1208
"231-1902-03",938
"231-1903-02",1414
"231-1909-02",1478
"231-1901-02",779
"231-2301-02",938
"231-2302-10",890
"231-2302-09",1542
"231-2302-06",1669
"231-2302-07",1669
"231-2303-02",1287
"231-2303-03",1160
"231-2304-00",1176
"231-2344-02",1716
"231-2327-02",1255
"231-2310-07",1780
"231-2310-08",1716
"231-2310-06",1637
"231-2311-02",1255
"231-2312-05",1065
"231-2312-04",1605
"231-2346-00",715
"231-2313-05",858
"231-2313-04",1033
"231-2343-02",356
"231-2343-04",618
"231-2343-03",599
"231-2343-05",499
"231-2314-01",922
"231-2315-02",842
"231-2317-02",1605
"231-2316-07",938
"231-2316-11",1144
"231-2316-08",1097
"231-2316-12",1621
"231-2316-06",826
"231-2318-02",1144
"231-2319-00",1224
"231-2321-12",561
"231-2321-10",731
"231-2321-02",683
"231-2321-03",683
"231-2321-07",370
"231-2322-03",652
"231-2330-00",1351
"231-2323-00",890
"231-2324-02",2352
"231-2324-03",2352
"231-2324-05",1542
"231-2401-02",1144
"231-2403-01",1192
"231-2404-02",1065
"231-2415-02",3369
"231-2505-03",610
"231-2505-01",1351
"231-2506-05",715
"231-2616-00",890
"231-2601-00",842
"231-2602-01",1653
"231-2603-03",1557
"231-2603-01",1255
"231-2604-03",1796
"231-2604-01",1716
"231-2704-03",779
"231-2704-05",1335
"231-2704-02",715
